datetime,SPY,cash,commission,total,returns,equity_curve,drawdown
2013-02-06,12250.910949707031,92054.62433166428,339.30000000000166,104305.53528137131,8.549149042980098e-05,1.0430553528137112,6.482696533227639e-05
2013-02-07,12234.703826904297,92054.62433166428,339.30000000000166,104289.32815856858,-0.0001553812341695826,1.0428932815856837,0.00022689819335974803
2013-02-08,12302.777862548828,92054.62433166428,339.30000000000166,104357.40219421311,0.0006527421055106952,1.043574021942129,0.0
2013-02-11,12300.35171508789,92054.62433166428,339.30000000000166,104354.97604675217,-2.3248446300194736e-05,1.0435497604675197,2.426147460932171e-05
2013-02-12,12320.60775756836,92054.62433166428,339.30000000000166,104375.23208923264,0.0001941071067985689,1.0437523208923243,0.0
2013-02-13,12331.148529052734,92054.62433166428,339.30000000000166,104385.77286071701,0.00010098920283474477,1.0438577286071682,0.0
2013-02-14,12342.495727539062,92054.62433166428,339.30000000000166,104397.12005920334,0.00010870445440369636,1.0439712005920314,0.0
2013-02-15,12327.90298461914,92054.62433166428,339.30000000000166,104382.52731628342,-0.00013978108698442515,1.0438252731628321,0.00014592742919927737
2013-02-19,12420.292663574219,92054.62433166428,339.30000000000166,104474.9169952385,0.0008851067446866701,1.044749169952383,0.0
2013-02-20,12265.502166748047,92054.62433166428,339.30000000000166,104320.12649841233,-0.0014816044011141116,1.0432012649841211,0.0015479049682618484
2013-02-21,12190.934753417969,92054.62433166428,339.30000000000166,104245.55908508225,-0.0007147941229845856,1.0424555908508204,0.0022935791015625817
2013-02-22,12310.07308959961,92054.62433166428,339.30000000000166,104364.69742126389,0.0011428624607825455,1.0436469742126366,0.0011021957397463478
2013-02-25,12075.85220336914,92054.62433166428,339.30000000000166,104130.47653503342,-0.0022442539672686834,1.041304765350332,0.0034444046020509766
2013-02-26,0.0,104129.17653503342,340.60000000000167,104129.17653503342,-1.2484337374218946e-05,1.041291765350332,0.0034574046020510174
2013-02-27,12311.695861816406,91969.35755309982,341.9000000000017,104281.05341491623,0.0014585429841722508,1.04281053414916,0.0019386358032229545
2013-02-28,12287.376403808594,91969.35755309982,341.9000000000017,104256.73395690841,-0.0002332107052184229,1.042567339569082,0.0021818303833009978
2013-03-01,12327.90298461914,91969.35755309982,341.9000000000017,104297.26053771896,0.0003887190713962596,1.0429726053771873,0.0017765645751957049
2013-03-04,12393.548583984375,91969.35755309982,341.9000000000017,104362.9061370842,0.0006294086635334484,1.0436290613708397,0.001120108581543322
2013-03-05,12504.583740234375,91969.35755309982,341.9000000000017,104473.9412933342,0.001063933157477992,1.0447394129333398,9.757019043155069e-06
2013-03-06,12521.601867675781,91969.35755309982,341.9000000000017,104490.9594207756,0.00016289351421727716,1.0449095942077538,0.0
2013-03-07,12544.295501708984,91969.35755309982,341.9000000000017,104513.6530548088,0.00021718275111082264,1.045136530548086,0.0
2013-03-08,12597.787475585938,91969.35755309982,341.9000000000017,104567.14502868576,0.0005118180478191903,1.0456714502868556,0.0
2013-03-11,12645.603942871094,91969.35755309982,341.9000000000017,104614.96149597091,0.0004572800306639202,1.0461496149597072,0.0
2013-03-12,12617.237091064453,91969.35755309982,341.9000000000017,104586.59464416427,-0.00027115482719686224,1.0458659464416407,0.0002836685180664933
2013-03-13,12635.063934326172,91969.35755309982,341.9000000000017,104604.42148742599,0.00017045055652076258,1.0460442148742577,0.00010540008544945856
2013-03-14,12702.336883544922,91969.35755309982,341.9000000000017,104671.69443664474,0.0006431176451449083,1.046716944366445,0.0
2013-03-15,12685.567474365234,91969.35755309982,341.9000000000017,104654.92502746505,-0.00016020958932538854,1.046549250274648,0.00016769409179695494
2013-03-18,12615.554809570312,91969.35755309982,341.9000000000017,104584.91236267013,-0.0006689858578231567,1.045849123626699,0.0008678207397461168
2013-03-19,12586.250305175781,91969.35755309982,341.9000000000017,104555.6078582756,-0.0002801982019443594,1.0455560785827536,0.001160865783691456
2013-03-20,12674.172973632812,91969.35755309982,341.9000000000017,104643.53052673263,0.0008409177686212743,1.0464353052673239,0.0002816390991211559
2013-03-21,12565.895080566406,91969.35755309982,341.9000000000017,104535.25263366623,-0.0010347308860985116,1.0453525263366599,0.0013644180297851527
